cum_return,log_return,sharpe,max_drawdown,turnover,model,seed
27.426233340694047,3.347312427989737,0.083933932348137,-0.06174826252347783,0.23078641764685,psann,0
80.16006247641654,4.396423284750523,0.13274823055179022,-0.040693035253421314,0.2376306070019182,lstm,0
33.72829939719119,3.547554899164668,0.08482129637166153,-0.07089772945638063,0.2481245270829847,psann,1
266.42029768854206,5.588821569373178,0.15206105938665798,-0.04606461252624863,0.3338470086579563,lstm,1
32.23646805239494,3.5036477083968873,0.08467871192913932,-0.06640007184749652,0.24339707638536867,psann,2
74.75018727773575,4.327440916699765,0.11604483585081021,-0.049207462248909074,0.21881445304985322,lstm,2
18.77243354883527,2.984288722618597,0.0718084934773599,-0.07259040614221046,0.21332704349705578,psann,3
91.6749154131124,4.52909783631032,0.1291541106771849,-0.054220949402735585,0.2786360633108925,lstm,3
24.255999283124176,3.229063722871313,0.08062105419574513,-0.0627179516471354,0.1957389053669064,psann,4
92.576866047359,4.5387831953213835,0.12937783543488496,-0.045986472142199974,0.2536959787057455,lstm,4
