step,loss
1,5.4666748046875
2,5.466148376464844
3,5.460559844970703
4,5.453971862792969
5,5.438755035400391
6,5.433464050292969
7,5.4226226806640625
8,5.400707244873047
9,5.390171051025391
10,5.362918853759766
11,5.346523284912109
12,5.348155975341797
13,5.312351226806641
14,5.2808685302734375
15,5.267402648925781
16,5.268646240234375
17,5.243398666381836
18,5.21855354309082
19,5.2131805419921875
20,5.204170227050781
21,5.189689636230469
22,5.187477111816406
23,5.149515151977539
24,5.1822052001953125
25,5.104246139526367
26,5.088495254516602
27,5.12138557434082
28,5.063106536865234
29,5.009592056274414
30,5.088043212890625
31,5.0349273681640625
32,5.068429946899414
33,5.032629013061523
34,5.006513595581055
35,4.995855331420898
36,5.011837005615234
37,4.973066329956055
38,4.942239761352539
39,4.946756362915039
40,4.9326171875
41,4.973094940185547
42,4.923816680908203
43,4.90770149230957
44,4.942729949951172
45,4.889366149902344
46,4.886964797973633
47,4.916332244873047
48,4.80512809753418
49,4.825380325317383
50,4.790842056274414
